Time Serie,EU/US,SWD/US
2002-05-01,1.1035,10.219
2002-05-02,1.1072,10.262
2002-05-03,1.0949,10.158
2002-05-06,1.091,10.116
2002-05-07,1.0931,10.259
2002-05-08,1.1062,10.295
2002-05-09,1.1004,10.228
2002-05-10,1.097,10.241
2002-05-13,1.0981,10.269
2002-05-14,1.1084,10.252
2002-05-15,1.102,10.16
2002-05-16,1.0983,10.15
2002-05-17,1.0862,10.017
2002-05-20,1.0854,9.9955
2002-05-21,1.088,9.983
2002-05-22,1.0793,9.869
2002-05-23,1.0831,9.886
2002-05-24,1.0846,9.908
2002-05-27,ND,ND
2002-05-28,1.077,9.864
2002-05-29,1.0738,9.815
2002-05-30,1.0669,9.721
2002-05-31,1.0708,9.7445
2002-06-03,1.065,9.69
2002-06-04,1.0611,9.7
2002-06-05,1.0648,9.732
2002-06-06,1.0574,9.694
2002-06-07,1.0583,9.756
2002-06-10,1.0586,9.7325
2002-06-11,1.0588,9.686
2002-06-12,1.0556,9.685
2002-06-13,1.0593,9.7
2002-06-14,1.0584,9.684
2002-06-17,1.0591,9.592
2002-06-18,1.0545,9.564
2002-06-19,1.0478,9.53
2002-06-20,1.0367,9.386
2002-06-21,1.0304,9.3277
2002-06-24,1.0219,9.2625
2002-06-25,1.0318,9.34
2002-06-26,1.0178,9.271
2002-06-27,1.0116,9.2125
2002-06-28,1.0146,9.207
2002-07-01,1.0108,9.199
2002-07-02,1.0163,9.214
2002-07-03,1.0187,9.286
2002-07-04,ND,ND
2002-07-05,1.0277,9.375
2002-07-08,1.0133,9.295
2002-07-09,1.0062,9.2875
2002-07-10,1.0111,9.395
2002-07-11,1.0074,9.353
2002-07-12,1.0097,9.322
2002-07-15,0.9929,9.199
2002-07-16,0.9914,9.244
2002-07-17,0.9923,9.233
2002-07-18,0.9933,9.245
2002-07-19,0.9846,9.23
2002-07-22,0.9903,9.4055
2002-07-23,1.0067,9.553
2002-07-24,1.0055,9.5685
2002-07-25,1.0003,9.42
2002-07-26,1.0119,9.448
2002-07-29,1.0226,9.478
2002-07-30,1.0122,9.377
2002-07-31,1.0208,9.515
2002-08-01,1.016,9.552
2002-08-02,1.0119,9.572
2002-08-05,1.0156,9.556
2002-08-06,1.0373,9.6855
2002-08-07,1.0269,9.587
2002-08-08,1.0359,9.65
2002-08-09,1.0294,9.56
2002-08-12,1.0227,9.508
2002-08-13,1.0218,9.449
2002-08-14,1.0135,9.372
2002-08-15,1.0187,9.408
2002-08-16,1.0167,9.384
2002-08-19,1.023,9.444
2002-08-20,1.0226,9.405
2002-08-21,1.0208,9.347
2002-08-22,1.0312,9.498
2002-08-23,1.0282,9.457
2002-08-26,1.0276,9.385
2002-08-27,1.019,9.2875
2002-08-28,1.0183,9.307
2002-08-29,1.0174,9.328
2002-08-30,1.0198,9.4
2002-09-02,ND,ND
2002-09-03,1.0041,9.369
2002-09-04,1.0078,9.35
2002-09-05,1.009,9.346
2002-09-06,1.016,9.3696
2002-09-09,1.0186,9.3725
2002-09-10,1.0254,9.4255
2002-09-11,1.0284,9.416
2002-09-12,1.0245,9.419
2002-09-13,1.0264,9.452
2002-09-16,1.0285,9.364
2002-09-17,1.0325,9.413
2002-09-18,1.0216,9.303
2002-09-19,1.0186,9.243
2002-09-20,1.0164,9.193
2002-09-23,1.0181,9.243
2002-09-24,1.0188,9.268
2002-09-25,1.0207,9.3053
2002-09-26,1.0251,9.371
2002-09-27,1.0233,9.304
2002-09-30,1.0122,9.274
2002-10-01,1.0143,9.219
2002-10-02,1.0161,9.221
2002-10-03,1.0131,9.198
2002-10-04,1.0182,9.258
2002-10-07,1.0187,9.275
2002-10-08,1.0208,9.353
2002-10-09,1.0134,9.29
2002-10-10,1.0141,9.2775
2002-10-11,1.0148,9.246
2002-10-14,ND,ND
2002-10-15,1.0194,9.241
2002-10-16,1.0179,9.242
2002-10-17,1.029,9.3825
2002-10-18,1.0301,9.384
2002-10-21,1.0275,9.335
2002-10-22,1.0223,9.3445
2002-10-23,1.0233,9.385
2002-10-24,1.0265,9.37
2002-10-25,1.0239,9.3405
2002-10-28,1.016,9.242
2002-10-29,1.0151,9.2505
2002-10-30,1.0168,9.218
2002-10-31,1.012,9.1885
2002-11-01,1.0029,9.13
2002-11-04,1.0047,9.165
2002-11-05,1.0006,9.146
2002-11-06,1.0026,9.137
2002-11-07,0.9909,9.0515
2002-11-08,0.9863,8.9708
2002-11-11,ND,ND
2002-11-12,0.9896,8.988
2002-11-13,0.994,9.015
2002-11-14,0.9966,9.053
2002-11-15,0.9919,9.01
2002-11-18,0.9918,8.989
2002-11-19,0.9894,8.997
2002-11-20,0.9976,9.05
2002-11-21,1.0016,9.018
2002-11-22,1.0034,9.0395
2002-11-25,1.0063,9.097
2002-11-26,1.0088,9.1365
2002-11-27,1.0106,9.169
2002-11-28,ND,ND
2002-11-29,1.0068,9.076
2002-12-02,1.0074,9.0745
2002-12-03,1.0032,9.064
2002-12-04,1.0001,9.075
2002-12-05,1.0011,9.07
2002-12-06,0.992,9.009
2002-12-09,0.9913,9.012
2002-12-10,0.9928,9.03
2002-12-11,0.9918,9.021
2002-12-12,0.9815,8.9445
2002-12-13,0.9779,8.943
2002-12-16,0.9794,8.902
2002-12-17,0.974,8.8695
2002-12-18,0.9752,8.868
2002-12-19,0.9788,8.916
2002-12-20,0.9739,8.865
2002-12-23,0.9788,8.93
2002-12-24,0.9704,8.864
2002-12-25,ND,ND
2002-12-26,0.9654,8.811
2002-12-27,0.9605,8.813
